iter	Passed	Remaining
0	19	19179
1	34	17087
2	49	16441
3	67	16759
4	83	16603
5	99	16457
6	115	16430
7	132	16470
8	149	16453
9	165	16378
10	182	16378
11	198	16367
12	214	16310
13	231	16289
14	248	16316
15	264	16288
16	281	16287
17	297	16252
18	314	16217
19	331	16233
20	347	16206
21	364	16185
22	381	16184
23	398	16208
24	414	16155
25	430	16126
26	446	16103
27	462	16059
28	479	16045
29	496	16041
30	512	16029
31	528	15991
32	536	15724
33	554	15743
34	569	15698
35	586	15698
36	600	15629
37	616	15604
38	631	15557
39	647	15546
40	663	15511
41	680	15511
42	695	15481
43	712	15479
44	728	15449
45	744	15430
46	760	15415
47	776	15390
48	793	15406
49	808	15363
50	825	15352
51	841	15342
52	858	15332
53	876	15346
54	891	15314
55	908	15310
56	924	15286
57	940	15281
58	957	15274
59	974	15263
60	990	15247
61	1006	15220
62	1022	15213
63	1039	15202
64	1054	15175
65	1070	15154
66	1087	15143
67	1104	15135
68	1122	15142
69	1139	15136
70	1155	15115
71	1171	15099
72	1189	15099
73	1205	15080
74	1220	15051
75	1237	15046
76	1252	15018
77	1269	15005
78	1279	14922
79	1297	14915
80	1311	14882
81	1326	14855
82	1343	14843
83	1358	14811
84	1375	14810
85	1391	14792
86	1407	14768
87	1421	14736
88	1439	14731
89	1454	14706
90	1471	14701
91	1487	14681
92	1503	14664
93	1519	14643
94	1536	14638
95	1551	14614
96	1568	14602
97	1585	14590
98	1602	14587
99	1618	14566
100	1635	14561
101	1651	14538
102	1668	14529
103	1684	14515
104	1697	14472
105	1708	14411
106	1725	14401
107	1742	14394
108	1759	14380
109	1776	14370
110	1792	14357
111	1809	14343
112	1826	14334
113	1842	14321
114	1858	14301
115	1875	14291
116	1892	14280
117	1909	14275
118	1926	14262
119	1942	14248
120	1959	14233
121	1977	14233
122	1993	14217
123	2009	14197
124	2025	14177
125	2041	14157
126	2058	14153
127	2075	14141
128	2092	14129
129	2110	14124
130	2126	14105
131	2141	14079
132	2157	14063
133	2174	14051
134	2190	14033
135	2206	14019
136	2223	14005
137	2239	13986
138	2256	13978
139	2272	13959
140	2290	13951
141	2305	13931
142	2321	13914
143	2338	13900
144	2354	13884
145	2372	13878
146	2388	13857
147	2404	13843
148	2421	13827
149	2437	13810
150	2454	13798
151	2470	13781
152	2487	13769
153	2503	13750
154	2519	13734
155	2536	13724
156	2552	13707
157	2568	13688
158	2584	13670
159	2600	13653
160	2617	13639
161	2634	13625
162	2651	13617
163	2659	13554
164	2673	13531
165	2689	13514
166	2705	13495
167	2722	13480
168	2738	13463
169	2753	13441
170	2769	13427
171	2786	13416
172	2802	13395
173	2819	13383
174	2835	13365
175	2849	13341
176	2865	13322
177	2882	13311
178	2899	13298
179	2916	13286
180	2931	13266
181	2947	13246
182	2963	13231
183	2979	13212
184	2995	13197
185	3011	13180
186	3028	13165
187	3044	13149
188	3060	13131
189	3076	13115
190	3093	13102
191	3109	13086
192	3126	13072
193	3143	13058
194	3160	13046
195	3169	13001
196	3180	12965
197	3196	12946
198	3211	12924
199	3226	12907
200	3243	12893
201	3259	12874
202	3275	12860
203	3291	12845
204	3308	12831
205	3325	12816
206	3342	12804
207	3358	12786
208	3375	12773
209	3391	12756
210	3407	12740
211	3423	12725
212	3439	12707
213	3454	12687
214	3470	12672
215	3485	12651
216	3501	12633
217	3517	12616
218	3533	12602
219	3551	12591
220	3567	12576
221	3583	12558
222	3599	12542
223	3616	12528
224	3631	12509
225	3647	12490
226	3662	12470
227	3678	12455
228	3693	12434
229	3709	12418
230	3725	12402
231	3742	12388
232	3756	12367
233	3771	12346
234	3786	12324
235	3802	12309
236	3818	12291
237	3833	12274
238	3850	12259
239	3866	12243
240	3882	12226
241	3899	12213
242	3915	12199
243	3932	12183
244	3948	12168
245	3964	12152
246	3979	12132
247	3996	12117
248	4013	12104
249	4029	12087
250	4046	12073
251	4062	12058
252	4079	12044
253	4096	12030
254	4112	12014
255	4129	12001
256	4146	11989
257	4163	11973
258	4180	11960
259	4197	11946
260	4213	11929
261	4230	11916
262	4246	11899
263	4262	11883
264	4278	11865
265	4294	11849
266	4310	11834
267	4327	11820
268	4344	11807
269	4362	11794
270	4378	11778
271	4394	11762
272	4411	11747
273	4427	11731
274	4444	11718
275	4460	11699
276	4475	11681
277	4491	11664
278	4507	11648
279	4524	11634
280	4541	11620
281	4557	11603
282	4573	11586
283	4588	11567
284	4605	11554
285	4623	11541
286	4640	11527
287	4656	11511
288	4672	11494
289	4688	11478
290	4705	11463
291	4720	11446
292	4736	11428
293	4753	11414
294	4769	11397
295	4785	11381
296	4801	11365
297	4817	11348
298	4835	11335
299	4851	11320
300	4867	11303
301	4885	11291
302	4901	11274
303	4918	11260
304	4934	11245
305	4951	11230
306	4967	11212
307	4983	11196
308	5002	11186
309	5018	11169
310	5035	11155
311	5051	11139
312	5068	11124
313	5084	11107
314	5100	11091
315	5117	11077
316	5134	11061
317	5150	11046
318	5165	11027
319	5182	11013
320	5200	11000
321	5216	10983
322	5231	10966
323	5248	10951
324	5264	10933
325	5282	10920
326	5298	10904
327	5314	10888
328	5330	10872
329	5347	10857
330	5363	10840
331	5379	10823
332	5396	10809
333	5413	10793
334	5428	10775
335	5444	10758
336	5460	10742
337	5475	10724
338	5492	10710
339	5509	10695
340	5526	10679
341	5544	10666
342	5560	10651
343	5576	10634
344	5593	10619
345	5608	10601
346	5626	10587
347	5642	10572
348	5658	10555
349	5675	10539
350	5692	10525
351	5710	10512
352	5727	10496
353	5743	10481
354	5759	10463
355	5775	10447
356	5792	10432
357	5808	10415
358	5823	10398
359	5840	10382
360	5854	10363
361	5871	10348
362	5888	10334
363	5905	10318
364	5922	10303
365	5940	10290
366	5955	10272
367	5971	10255
368	5988	10240
369	6004	10223
370	6020	10207
371	6037	10191
372	6052	10174
373	6069	10158
374	6086	10143
375	6102	10127
376	6119	10111
377	6135	10096
378	6150	10077
379	6166	10061
380	6184	10047
381	6201	10032
382	6217	10015
383	6233	10000
384	6250	9984
385	6267	9970
386	6284	9954
387	6300	9937
388	6317	9923
389	6335	9910
390	6351	9893
391	6367	9876
392	6384	9860
393	6400	9844
394	6416	9827
395	6433	9812
396	6449	9795
397	6465	9779
398	6481	9763
399	6498	9747
400	6514	9730
401	6532	9717
402	6548	9701
403	6565	9685
404	6583	9671
405	6598	9654
406	6614	9637
407	6631	9621
408	6646	9603
409	6662	9588
410	6679	9572
411	6695	9555
412	6713	9541
413	6729	9525
414	6745	9509
415	6762	9493
416	6779	9478
417	6795	9462
418	6812	9446
419	6828	9429
420	6845	9415
421	6861	9398
422	6878	9383
423	6895	9367
424	6910	9349
425	6928	9335
426	6944	9319
427	6961	9303
428	6978	9288
429	6993	9271
430	7010	9255
431	7026	9238
432	7043	9223
433	7060	9207
434	7077	9192
435	7093	9176
436	7110	9160
437	7126	9144
438	7143	9128
439	7159	9112
440	7176	9096
441	7192	9080
442	7207	9062
443	7223	9045
444	7238	9028
445	7254	9011
446	7271	8996
447	7287	8979
448	7304	8963
449	7320	8947
450	7337	8931
451	7353	8915
452	7370	8900
453	7386	8883
454	7403	8868
455	7419	8851
456	7436	8835
457	7452	8819
458	7470	8805
459	7486	8788
460	7503	8773
461	7521	8758
462	7537	8741
463	7553	8725
464	7570	8710
465	7586	8693
466	7602	8677
467	7618	8660
468	7634	8643
469	7650	8626
470	7669	8613
471	7684	8596
472	7700	8580
473	7717	8564
474	7733	8547
475	7749	8531
476	7766	8515
477	7782	8498
478	7797	8481
479	7815	8466
480	7832	8451
481	7848	8434
482	7866	8419
483	7881	8402
484	7897	8386
485	7914	8370
486	7933	8357
487	7948	8339
488	7964	8323
489	7979	8305
490	7996	8289
491	8013	8273
492	8028	8256
